length,vowel,syl,end,closed,rhymes
48,a,2,0,0,1
57,a,2,0,0,1
64,a,3,0,1,0
64,a,2,0,0,1
64,a,3,0,0,1
69,a,2,0,0,1
70,a,3,0,1,0
71,a,2,0,1,0
71,a,3,0,1,0
72,a,3,0,1,0
72,a,2,0,0,1
72,a,2,0,0,1
73,a,2,0,1,0
74,a,2,0,0,1
76,a,2,0,1,1
76,a,2,0,1,1
78,a,2,0,0,1
79,a,2,0,0,1
80,a,2,0,0,1
81,a,2,0,0,1
83,a,3,0,0,0
84,a,2,1,1,0
84,a,3,0,0,0
84,a,3,0,0,0
85,a,2,0,1,0
85,a,2,0,0,0
85,a,3,0,0,0
85,a,2,0,0,1
85,a,2,0,0,1
85,a,3,0,0,1
86,a,2,1,0,0
86,a,2,0,0,0
86,a,2,0,0,1
87,a,2,0,1,1
89,a,2,0,0,0
89,a,2,0,0,0
89,a,2,0,0,0
90,a,3,0,0,0
90,a,3,1,1,0
92,a,3,1,1,0
92,a,2,0,1,1
93,a,2,1,0,1
94,a,2,0,0,0
95,a,3,0,0,0
96,a,2,0,0,0
96,a,2,0,0,0
96,a,2,0,0,1
97,a,2,0,0,0
97,a,3,0,0,0
98,a,3,0,0,0
98,a,3,0,0,0
98,a,2,0,0,1
99,a,2,0,0,0
99,a,3,0,0,0
100,a,2,0,0,0
100,a,2,0,0,1
100,a,2,0,0,1
101,a,2,0,0,0
101,a,2,1,0,0
101,a,3,0,0,0
101,a,2,0,0,1
101,a,2,0,1,1
101,a,2,0,1,1
102,a,2,1,1,0
102,a,2,0,0,1
102,a,3,0,0,1
103,a,2,0,0,0
104,a,3,0,0,0
104,a,2,0,1,0
105,a,2,0,0,0
106,a,2,0,0,1
107,a,2,0,0,0
107,a,3,0,0,0
107,a,3,0,0,0
107,a,2,0,0,1
107,a,2,0,0,1
108,a,3,0,0,0
109,a,2,1,1,0
109,a,2,0,0,1
110,a,2,0,0,1
110,a,3,1,0,1
111,a,2,1,0,0
111,a,2,0,0,1
112,a,2,1,0,0
112,a,2,0,0,1
112,a,2,0,1,1
112,a,2,0,0,1
113,a,2,1,0,0
113,a,3,1,1,0
113,a,2,1,1,1
116,a,2,0,0,1
116,a,2,0,0,1
117,a,3,1,1,0
118,a,2,1,1,0
118,a,3,1,1,0
118,a,2,0,0,1
120,a,2,0,0,1
121,a,2,0,1,0
121,a,2,1,0,1
121,a,3,1,0,1
122,a,2,0,0,0
122,a,3,1,1,0
122,a,2,1,0,1
122,a,2,0,0,1
122,a,2,0,0,1
123,a,2,0,0,1
124,a,2,0,0,0
124,a,3,1,0,0
124,a,2,0,0,1
126,a,3,1,1,0
126,a,3,0,0,0
126,a,2,0,0,1
128,a,3,1,0,0
129,a,2,1,0,1
130,a,3,1,1,0
131,a,3,0,0,0
132,a,2,1,1,1
132,a,2,0,0,1
133,a,3,1,0,0
133,a,2,1,0,1
133,a,2,0,0,1
133,a,2,0,0,1
135,a,2,0,0,1
136,a,2,1,0,0
136,a,2,0,0,0
137,a,2,1,0,0
137,a,3,0,0,1
139,a,2,1,0,0
141,a,3,1,0,0
141,a,2,1,0,1
141,a,2,0,0,1
142,a,3,0,0,1
143,a,2,0,0,0
147,a,2,1,0,1
147,a,2,0,0,1
148,a,2,1,0,0
149,a,2,1,0,1
151,a,3,1,0,1
152,a,2,1,1,0
154,a,2,0,1,0
155,a,2,0,0,1
155,a,2,1,0,1
155,a,2,1,0,1
156,a,2,0,0,0
156,a,3,1,1,0
156,a,2,0,0,1
158,a,2,1,0,0
158,a,2,1,0,1
158,a,3,1,0,1
160,a,2,0,0,1
163,a,2,1,0,1
167,a,2,1,0,1
168,a,2,1,0,1
168,a,3,1,0,1
169,a,2,1,0,1
171,a,2,1,0,1
172,a,2,1,0,1
176,a,2,1,0,1
