length,vowel,syl,end,closed,genre
48,a,2,0,0,поэзия
57,a,2,0,0,поэзия
64,a,3,0,1,проза
64,a,2,0,0,поэзия
64,a,3,0,0,поэзия
69,a,2,0,0,поэзия
70,a,3,0,1,проза
71,a,2,0,1,проза
71,a,3,0,1,проза
72,a,3,0,1,проза
72,a,2,0,0,поэзия
72,a,2,0,0,поэзия
73,a,2,0,1,проза
74,a,2,0,0,поэзия
76,a,2,0,1,поэзия
76,a,2,0,1,поэзия
78,a,2,0,0,поэзия
79,a,2,0,0,поэзия
80,a,2,0,0,поэзия
81,a,2,0,0,поэзия
83,a,3,0,0,проза
84,a,2,1,1,проза
84,a,3,0,0,проза
84,a,3,0,0,проза
85,a,2,0,1,проза
85,a,2,0,0,проза
85,a,3,0,0,проза
85,a,2,0,0,поэзия
85,a,2,0,0,поэзия
85,a,3,0,0,поэзия
86,a,2,1,0,проза
86,a,2,0,0,проза
86,a,2,0,0,поэзия
87,a,2,0,1,поэзия
89,a,2,0,0,проза
89,a,2,0,0,проза
89,a,2,0,0,проза
90,a,3,0,0,проза
90,a,3,1,1,проза
92,a,3,1,1,проза
92,a,2,0,1,поэзия
93,a,2,1,0,поэзия
94,a,2,0,0,проза
95,a,3,0,0,проза
96,a,2,0,0,проза
96,a,2,0,0,проза
96,a,2,0,0,поэзия
97,a,2,0,0,проза
97,a,3,0,0,проза
98,a,3,0,0,проза
98,a,3,0,0,проза
98,a,2,0,0,поэзия
99,a,2,0,0,проза
99,a,3,0,0,проза
100,a,2,0,0,проза
100,a,2,0,0,поэзия
100,a,2,0,0,поэзия
101,a,2,0,0,проза
101,a,2,1,0,проза
101,a,3,0,0,проза
101,a,2,0,0,поэзия
101,a,2,0,1,поэзия
101,a,2,0,1,поэзия
102,a,2,1,1,проза
102,a,2,0,0,поэзия
102,a,3,0,0,поэзия
103,a,2,0,0,проза
104,a,3,0,0,проза
104,a,2,0,1,проза
105,a,2,0,0,проза
106,a,2,0,0,поэзия
107,a,2,0,0,проза
107,a,3,0,0,проза
107,a,3,0,0,проза
107,a,2,0,0,поэзия
107,a,2,0,0,поэзия
108,a,3,0,0,проза
109,a,2,1,1,проза
109,a,2,0,0,поэзия
110,a,2,0,0,поэзия
110,a,3,1,0,поэзия
111,a,2,1,0,проза
111,a,2,0,0,поэзия
112,a,2,1,0,проза
112,a,2,0,0,поэзия
112,a,2,0,1,поэзия
112,a,2,0,0,поэзия
113,a,2,1,0,проза
113,a,3,1,1,проза
113,a,2,1,1,поэзия
116,a,2,0,0,поэзия
116,a,2,0,0,поэзия
117,a,3,1,1,проза
118,a,2,1,1,проза
118,a,3,1,1,проза
118,a,2,0,0,поэзия
120,a,2,0,0,поэзия
121,a,2,0,1,проза
121,a,2,1,0,поэзия
121,a,3,1,0,поэзия
122,a,2,0,0,проза
122,a,3,1,1,проза
122,a,2,1,0,поэзия
122,a,2,0,0,поэзия
122,a,2,0,0,поэзия
123,a,2,0,0,поэзия
124,a,2,0,0,проза
124,a,3,1,0,проза
124,a,2,0,0,поэзия
126,a,3,1,1,проза
126,a,3,0,0,проза
126,a,2,0,0,поэзия
128,a,3,1,0,проза
129,a,2,1,0,поэзия
130,a,3,1,1,проза
131,a,3,0,0,проза
132,a,2,1,1,поэзия
132,a,2,0,0,поэзия
133,a,3,1,0,проза
133,a,2,1,0,поэзия
133,a,2,0,0,поэзия
133,a,2,0,0,поэзия
135,a,2,0,0,поэзия
136,a,2,1,0,проза
