length,syl,end,closed,rhymes,a,e,i,o,u,y
48,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
57,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
64,3,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
64,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
64,3,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
69,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
70,3,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
71,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
71,3,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
72,3,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
72,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
72,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
73,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
74,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
76,2,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
76,2,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
78,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
79,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
80,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
81,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
83,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
84,2,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
84,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
84,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
85,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
85,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
85,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
85,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
85,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
85,3,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
86,2,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
86,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
86,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
87,2,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
89,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
89,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
89,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
90,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
90,3,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
92,3,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
92,2,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
93,2,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
94,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
95,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
96,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
96,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
96,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
97,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
97,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
98,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
98,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
98,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
99,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
99,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
100,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
100,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
100,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
101,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
101,2,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
101,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
101,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
101,2,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
101,2,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
102,2,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
102,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
102,3,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
103,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
104,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
104,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
105,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
106,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
107,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
107,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
107,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
107,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
107,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
108,3,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
109,2,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
109,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
110,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
110,3,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
111,2,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
111,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
112,2,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
112,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
